epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,7070.94,1.05899,1.07325,1.37714,0.76363,0.70952,0.8072,0.62773,0.92358,0.83799,1.25408,7.57344e-05,7.57344e-05,7.57344e-05
90,7149.92,1.05434,1.08283,1.38134,0.74969,0.72502,0.80477,0.62627,0.92169,0.83412,1.25233,6.99132e-05,6.99132e-05,6.99132e-05
91,7253.02,0.98752,0.94678,1.30615,0.7768,0.71626,0.81069,0.62581,0.93048,0.84267,1.25367,6.4092e-05,6.4092e-05,6.4092e-05
92,7331.17,0.97653,0.92753,1.29782,0.78294,0.72324,0.81861,0.62719,0.93269,0.83794,1.25807,5.82708e-05,5.82708e-05,5.82708e-05
93,7409.41,0.97234,0.91097,1.29897,0.78599,0.74294,0.82696,0.6403,0.9126,0.83159,1.24359,5.24496e-05,5.24496e-05,5.24496e-05
94,7487.57,0.96345,0.89291,1.28423,0.78028,0.74827,0.82835,0.64287,0.9148,0.81718,1.24421,4.66284e-05,4.66284e-05,4.66284e-05
95,7565.83,0.96049,0.89449,1.28582,0.78585,0.72628,0.82623,0.64593,0.91757,0.81719,1.2444,4.08072e-05,4.08072e-05,4.08072e-05
96,7643.87,0.95754,0.90589,1.28776,0.79829,0.73669,0.8323,0.64992,0.90437,0.81095,1.23494,3.4986e-05,3.4986e-05,3.4986e-05
97,7722.1,0.9563,0.87627,1.28337,0.79963,0.73827,0.83418,0.65422,0.90169,0.80327,1.23161,2.91648e-05,2.91648e-05,2.91648e-05
98,7800.27,0.94731,0.87564,1.27316,0.80162,0.74198,0.83831,0.65581,0.90182,0.80327,1.23034,2.33436e-05,2.33436e-05,2.33436e-05
99,7878.46,0.94839,0.88939,1.27962,0.81055,0.73773,0.83885,0.65841,0.90113,0.79769,1.22977,1.75224e-05,1.75224e-05,1.75224e-05
100,7956.62,0.94843,0.87956,1.27536,0.80481,0.74288,0.84169,0.6606,0.89356,0.79496,1.22672,1.17012e-05,1.17012e-05,1.17012e-05
